经销商报价,纯电续航里程(km),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),磷酸铁锂,三元锂,其它,电池容量(kWh)
18.58,610,0.5,10.5,80,155,7,14.5,4549,1860,1628,2770,1580,1580,5,5,1779,170,231,310,0,1,0,79.63
14.28,400,0.5,8.5,80,150,9.5,13.2,4530,1860,1628,2770,1580,1580,5,5,1675,120,163,210,0,1,0,56.03
16.48,400,0.5,8.5,80,150,9.5,13.2,4530,1860,1628,2770,1580,1580,5,5,1675,120,163,210,0,1,0,54.34
17.58,500,0.5,10,80,150,9.5,13.5,4530,1860,1628,2770,1580,1580,5,5,1635,120,163,210,0,1,0,66.23
19.98,610,0.5,13,80,155,7,14.5,4530,1860,1628,2770,1580,1580,5,5,1738,150,204,310,0,1,0,81.57
18.98,500,0.5,9.584863481,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,1,0,0,71.8
18.98,500,0.5,9.584863481,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,0,1,0,69.9
19.98,500,0.5,9.584863481,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,1,0,0,71.8
19.98,500,0.5,9.584863481,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,0,1,0,69.9
20.68,500,0.5,9.584863481,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,7,1905,165,224,350,0,1,0,69.9
20.96,500,0.17,9.584863481,80,185,7.9,15.1,4650,1920,1720,2830,1630,1645,5,5,2055,165,224,350,0,1,0,72.1
26.98,500,0.17,9.584863481,80,185,7.9,14.73990223,4650,1920,1720,2830,1630,1645,5,5,1897.268636,165,224,350,0,1,0,71.8
20.48,600,0.5,9.584863481,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,0,1,0,80
21.68,600,0.5,9.584863481,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,0,1,0,80
22.38,600,0.5,9.584863481,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,7,1960,165,224,350,0,1,0,80
23.68,600,0.5,9.584863481,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,0,1,0,80
24.96,702,0.5,9.584863481,80,185,6.9,15.4,4650,1920,1720,2830,1630,1645,5,5,2050,200,272,350,0,1,0,95.8
18.76,500,0.5,9.584863481,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,0,1,0,69.9
19.76,500,0.5,9.584863481,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,0,1,0,69.9
18.76,500,0.5,9.584863481,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,1,0,0,71.8
19.76,500,0.5,9.584863481,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,1,0,0,71.8
20.96,500,0.17,9.584863481,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1980,165,224,350,0,1,0,72.3
