数据编号,型号,经销商报价,纯电续航里程(km),充电时间(小时),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),电池类型,磷酸铁锂,三元锂,其它,电池容量(kWh)
333,几何C 2021款 优选续航版 400KM C400 奋斗版,16.68,400,快充0.63小时 慢充11小时,0.63,11,80,150,6.9,13.9,4432,1833,1560,2700,1561,1560,5,5,1545,150,204,310,三元锂电池,0,1,0,53
334,几何C 2021款 甄选续航版 550KM C550 幂方版,15.38,550,快充0.75小时 慢充9小时,0.75,9,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
335,几何C 2021款 甄选续航版 550KM C550 魔方版,17.38,550,快充0.75小时 慢充9小时,0.75,9,80,150,7,14,4432,1833,1560,2700,1561,1560,5,5,1665,150,204,310,三元锂电池,0,1,0,70
336,高合HiPhi X 2022款 智远版 6座 长续航版,57,630,快充0.75小时 慢充9小时,0.75,9,80,200,7.1,16,5200,2062,1618,3150,1701,1701,5,6,2440,220,299,410,三元锂电池,0,1,0,94.3
337,高合HiPhi X 2022款 创远版 6座 长续航版,62,630,快充0.75小时 慢充9小时,0.75,9,80,200,7.1,16,5200,2062,1618,3150,1701,1701,5,6,2440,220,299,410,三元锂电池,0,1,0,94.3
338,高合HiPhi X 2021款 豪华版 6座,62,550,快充0.75小时 慢充9小时,0.75,9,80,200,3.9,17.8,5200,2062,1618,3150,1701,1701,5,6,2580,440,598,820,三元锂电池,0,1,0,94.3
339,高合HiPhi X 2021款 旗舰版 6座,68,550,快充0.77小时 慢充8.25小时,0.77,8.25,80,200,3.9,17.8,5200,2062,1618,3150,1701,1701,5,6,2580,440,598,820,三元锂电池,0,1,0,94.3
340,高合HiPhi X 2021款 旗舰版 4座,80,550,快充0.77小时 慢充8.25小时,0.77,8.25,80,200,4,17.8,5200,2062,1618,3150,1701,1701,5,4,2650,440,598,820,三元锂电池,0,1,0,94.3
341,宝马i4 2022款 eDrive40,44.87,625,快充0.75小时 慢充12小时,0.75,12,80,182,5.7,14.7,4785,1852,1455,2856,,,5,5,2112,250,340,430,三元锂电池,0,1,0,83.9
342,宝马i4 2022款 M50,53.87,560,快充0.75小时 慢充12小时,0.75,12,80,218,3.9,16.4,4785,1852,1455,2856,,,5,5,2275,400,544,795,三元锂电池,0,1,0,83.9
343,奔驰EQC 2022款 改款 EQC 350 4MATIC,29.09,440,快充0.75小时 慢充12小时,0.75,12,,180,6.9,20,4774,1890,1622,2873,1630,1621,5,5,2485,210,286,590,三元锂电池,0,1,0,79.2
344,奔驰EQC 2022款 改款 EQC 350 4MATIC 特别版,30.09,440,快充0.75小时 慢充10小时,0.75,10,,180,6.9,20,4774,1890,1622,2873,1630,1621,5,5,2485,210,286,590,三元锂电池,0,1,0,79.2
345,奔驰EQC 2022款 改款 EQC 400 4MATIC,37.09,443,快充1小时 慢充13小时,1,13,80,180,5.1,19.7,4774,1923,1622,2873,1630,1621,5,5,2485,300,408,760,三元锂电池,0,1,0,79.2
346,梦想家 EV 2022款 0碳版 家,36.99,475,快充0.75小时 慢充10小时,0.75,10,80,200,5.8,20,5315,1985,1820,3200,1705,1708,5,7,2620,320,435,620,三元锂电池,0,1,0,82
347,梦想家 EV 2022款 0碳版 家+续航包,41.99,605,快充1小时 慢充13小时,1,13,80,200,5.9,20,5315,1985,1820,3200,1705,1708,5,7,2625,320,435,620,三元锂电池,0,1,0,108.7
348,梦想家 EV 2022款 0碳版 想,38.99,475,快充0.75小时 慢充10小时,0.75,10,80,200,5.8,20,5315,1985,1820,3200,1705,1708,5,7,2620,320,435,620,三元锂电池,0,1,0,82
349,梦想家 EV 2022款 0碳版 想+续航包,43.99,605,快充1小时 慢充13小时,1,13,80,200,5.9,20,5315,1985,1820,3200,1705,1708,5,7,2625,320,435,620,三元锂电池,0,1,0,108.7
350,梦想家 EV 2022款 0碳版 梦,43.99,475,快充0.75小时 慢充10小时,0.75,10,80,200,5.8,20,5315,1985,1800,3200,1705,1708,5,7,2620,320,435,620,三元锂电池,0,1,0,82
351,梦想家 EV 2022款 0碳版 梦+续航包,48.99,605,快充1小时 慢充13小时,1,13,80,200,5.9,20,5315,1985,1800,3200,1705,1708,5,7,2625,320,435,620,三元锂电池,0,1,0,108.7
352,梦想家 EV 2022款 私人定制0碳版,63.99,475,快充0.5小时 慢充8小时,0.5,8,80,200,5.9,20,5315,1985,1800,3200,1705,1708,5,4,2620,320,435,620,三元锂电池,0,1,0,82
353,梦想家 EV 2022款 私人定制0碳长续航版,68.99,605,快充0.5小时 慢充8小时,0.5,8,80,200,5.9,20,5315,1985,1800,3200,1705,1708,5,4,2625,320,435,620,三元锂电池,0,1,0,108.7
354,欧拉芭蕾猫 2022款 401km 爱丽丝版,19.3,401,快充0.5小时 慢充10小时,0.5,10,80,155,,13.4,4401,1867,1633,2750,1583,1587,5,5,1740,126,171,250,磷酸铁锂电池,1,0,0,49.92
355,欧拉芭蕾猫 2022款 401km 胡桃夹子版,20.3,401,快充0.5小时 慢充10小时,0.5,10,80,155,,13.4,4401,1867,1633,2750,1583,1587,5,5,1765,126,171,250,磷酸铁锂电池,1,0,0,49.92
356,欧拉芭蕾猫 2022款 500km 睡美人版,21.3,500,,,,80,155,,13.9,4401,1867,1633,2750,1583,1587,5,5,1810,126,171,250,磷酸铁锂电池,1,0,0,60.5
357,欧拉芭蕾猫 2022款 500km 天鹅湖版,22.3,500,,,,80,155,,13.9,4401,1867,1633,2750,1583,1587,5,5,1835,126,171,250,磷酸铁锂电池,1,0,0,60.5
358,ID.6 CROZZ 2022款 标准续航PURE版,23.43,460,,,,80,160,,14.4,4891,1848,1679,2965,1587,1563,5,7,2161,132,180,310,三元锂电池,0,1,0,62.6
359,ID.6 CROZZ 2022款 长续航PURE+版,25.83,601,,,,80,160,,14.4,4891,1848,1679,2965,1587,1563,5,7,2290,150,204,310,三元锂电池,0,1,0,84.8
360,ID.6 CROZZ 2022款 长续航Lite PRO,26.43,601,,,,80,160,,14.4,4891,1848,1679,2965,1587,1563,5,7,2290,150,204,310,三元锂电池,0,1,0,84.8
361,ID.6 CROZZ 2022款 长续航PRO版,26.93,601,快充1.3小时 慢充14.4小时,1.3,14.4,80,160,,14.4,4891,1848,1679,2965,1587,1563,5,7,2290,150,204,310,三元锂电池,0,1,0,84.8
362,ID.6 CROZZ 2022款 高性能PRIME版,31.89,550,慢充16.23小时 慢充16.23小时,,16.23,80,160,,15.8,4891,1848,1679,2965,1587,1563,5,6,2383,230,313,472,三元锂电池,0,1,0,84.8
363,秦EV 2021款 标准版,15.58,405,快充0.5小时 慢充16小时,0.5,16,80,130,15,11.8,4675,1770,1500,2670,1525,1520,4,5,1531,100,136,180,磷酸铁锂电池,1,0,0,47.53
364,秦EV 2021款 出行版,16.58,450,快充0.5小时 慢充16小时,0.5,16,80,130,15,12.2,4675,1770,1500,2670,1525,1520,4,5,1520,100,136,180,磷酸铁锂电池,1,0,0,53.56
365,秦EV 2021款 领畅版,16.98,450,快充0.67小时 慢充9小时,0.67,9,,130,,12.2,4675,1770,1500,2670,1525,1520,4,5,1520,100,136,180,磷酸铁锂电池,1,0,0,53.56
366,秦EV 2020款 高续航版 豪华型,10.99,421,快充0.67小时 慢充9小时,0.67,9,80,130,,12.9,4675,1770,1500,2670,1525,1520,4,5,1520,100,136,180,三元锂电池,0,1,0,53.1
367,秦EV 2020款 高续航版 尊贵型,11.99,421,快充0.67小时 慢充9.5小时,0.67,9.5,80,130,,12.9,4675,1770,1500,2670,1525,1520,4,5,1520,100,136,180,三元锂电池,0,1,0,53.1
368,e:NP1 极湃1 2022款 420km 见极版,15.5,420,快充0.67小时 慢充9.5小时,0.67,9.5,80,150,,13.6,4388,1790,1560,2610,1545,1550,5,5,1652,134,182,310,三元锂电池,0,1,0,53.6
369,e:NP1 极湃1 2022款 420km 进极版,16.9,420,快充0.8小时 慢充13小时,0.8,13,80,150,,13.6,4388,1790,1560,2610,1535,1540,5,5,1686,134,182,310,三元锂电池,0,1,0,53.6
370,e:NP1 极湃1 2022款 510km 览极版,18.5,510,快充0.8小时 慢充13小时,0.8,13,80,150,,13.8,4388,1790,1560,2610,1535,1540,5,5,1683,150,204,310,三元锂电池,0,1,0,68.8
371,e:NP1 极湃1 2022款 510km 绽极版,19.8,510,快充0.8小时 慢充13小时,0.8,13,80,150,,13.8,4388,1790,1560,2610,1535,1540,5,5,1696,150,204,310,三元锂电池,0,1,0,68.8
372,奔驰EQE 2022款 EQE 350 先锋版,47.7,752,,,,80,180,6.7,13.7,4969,1906,1514,3120,1639,1650,4,5,2375,215,292,556,三元锂电池,0,1,0,96.1
373,奔驰EQE 2022款 EQE 350 豪华版,49.5,717,,,,80,180,6.7,14.4,4969,1906,1514,3120,1634,1645,4,5,2410,215,292,556,三元锂电池,0,1,0,96.1
374,奔驰EQE 2022款 EQE 350 先型特别版,53.4,717,,,,80,180,6.7,14.4,4969,1906,1514,3120,1634,1645,4,5,2410,215,292,556,三元锂电池,0,1,0,96.1
375,蔚来ES7 2022款 75kWh,45.67,485,快充0.75小时 慢充10小时,0.75,10,80,200,3.9,17.6,4912,1987,1720,2960,1668,1672,5,5,2361,480,653,850,磷酸铁锂电池+三元锂电池,0,0,0,75
376,蔚来ES7 2022款 100kWh,51.34,620,快充0.75小时 慢充8.5小时,0.75,8.5,80,200,3.9,17.6,4912,1987,1720,2960,1668,1672,5,5,2381,480,653,850,三元锂电池,0,1,0,100
377,蔚来ES7 2022款 100kWh 首发版,53.79,575,快充0.75小时 慢充8.5小时,0.75,8.5,80,200,3.9,19.1,4912,1987,1720,2960,1668,1672,5,5,2400,480,653,850,三元锂电池,0,1,0,100
378,岚图FREE 2022款 超长续航纯电版,39.36,631,快充0.75小时 慢充8.5小时,0.75,8.5,80,200,4.4,18.3,4905,1950,1645,2960,1654,1647,5,5,2310,360,490,720,三元锂电池,0,1,0,106
379,岚图FREE 2022款 DNA Design四驱纯电版,41.99,475,快充0.75小时 慢充8.5小时,0.75,8.5,80,200,4.7,19.3,4910,1950,1660,2960,1654,1647,5,5,2330,510,694,1040,三元锂电池,0,1,0,88
380,岚图FREE 2021款 两驱纯电版,34.36,505,快充0.6小时 慢充11.5小时,0.6,11.5,80,180,7.3,18.7,4905,1950,1660,2960,1654,1647,5,5,2190,255,347,520,三元锂电池,0,1,0,88
381,岚图FREE 2021款 两驱纯电城市版,35.86,505,快充0.6小时 慢充11.5小时,0.6,11.5,80,180,7.3,18.7,4905,1950,1645,2960,1654,1647,5,5,2190,255,347,520,三元锂电池,0,1,0,88
382,岚图FREE 2021款 四驱纯电版专属豪华套装,37.36,475,快充0.8小时 慢充14小时,0.8,14,80,200,4.7,19.3,4905,1950,1645,2960,1654,1647,5,5,2330,510,694,1040,三元锂电池,0,1,0,88
383,蔚来EC6 2022款 465KM 运动版,38.47,465,快充0.8小时 慢充14小时,0.8,14,80,200,5.4,17.2,4850,1965,1731,2900,1668,1672,5,5,2250,320,435,610,磷酸铁锂电池+三元锂电池,0,0,0,75
384,蔚来EC6 2022款 475KM 性能版,42.47,475,快充0.6小时 慢充11.5小时,0.6,11.5,80,200,4.5,17.1,4850,1965,1714,2900,1668,1672,5,5,2299,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
385,蔚来EC6 2022款 605KM 运动版,44.14,605,快充0.8小时 慢充14小时,0.8,14,80,200,5.4,17.3,4850,1965,1731,2900,1668,1672,5,5,2280,320,435,610,三元锂电池,0,1,0,100
386,蔚来EC6 2022款 615KM 性能版,48.14,615,快充0.5小时 慢充7小时,0.5,7,80,200,4.5,17.3,4850,1965,1714,2900,1668,1672,5,5,2329,400,544,725,三元锂电池,0,1,0,100
387,蔚来EC6 2022款 475KM 签名版,48.47,475,快充0.83小时 慢充10小时,0.83,10,80,200,4.5,17.1,4850,1965,1714,2900,1668,1672,5,5,2299,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
388,蔚来EC6 2022款 615KM 签名版,54.14,615,快充0.83小时 慢充10小时,0.83,10,80,200,4.5,17.3,4850,1965,1714,2900,1668,1672,5,5,2329,400,544,725,三元锂电池,0,1,0,100
389,一汽丰田bZ4X 2022款 精英JOY版,19.98,400,快充0.83小时 慢充10小时,0.83,10,,160,7.5,12.3,4690,1860,1650,2850,1600,1610,5,5,1870,150,204,266,三元锂电池,0,1,0,50.3
390,一汽丰田bZ4X 2022款 长续航JOY版,22.98,615,快充0.83小时 慢充10小时,0.83,10,,160,7.5,11.6,4690,1860,1650,2850,1600,1610,5,5,1870,150,204,266,三元锂电池,0,1,0,66.7
391,一汽丰田bZ4X 2022款 长续航PRO版,24.98,615,快充0.67小时 慢充9.5小时,0.67,9.5,,160,7.5,11.6,4690,1860,1650,2850,1600,1610,5,5,1910,150,204,266,三元锂电池,0,1,0,66.7
392,一汽丰田bZ4X 2022款 四驱高性能PRO版,26.88,560,快充0.67小时 慢充12.5小时,0.67,12.5,,160,6.9,13.1,4690,1860,1650,2850,1600,1610,5,5,2005,160,218,338,三元锂电池,0,1,0,66.7
393,一汽丰田bZ4X 2022款 四驱高性能Premium版,28.48,500,快充0.67小时 慢充12.5小时,0.67,12.5,,160,6.9,14.7,4690,1860,1650,2850,1600,1610,5,5,2035,160,218,338,三元锂电池,0,1,0,66.7
394,ID.6 X 2022款 纯净版,24.53,460,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,14.6,4876,1848,1680,2965,1587,1563,5,7,2150,132,180,310,三元锂电池,0,1,0,63.2
395,ID.6 X 2022款 智享纯净长续航版,26.88,617,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,14.6,4876,1848,1680,2965,1587,1563,5,7,2280,150,204,310,三元锂电池,0,1,0,83.4
396,ID.6 X 2022款 纯净长续航版,27.13,617,快充0.67小时 慢充12.5小时,0.67,12.5,80,160,,14.6,4876,1848,1680,2965,1587,1563,5,7,2280,150,204,310,三元锂电池,0,1,0,83.4
397,ID.6 X 2022款 智享长续航版,28.18,617,快充0.62小时 慢充16小时,0.62,16,80,160,,14.6,4876,1848,1680,2965,1587,1563,5,7,2280,150,204,310,三元锂电池,0,1,0,83.4
398,ID.6 X 2022款 极智长续航版,28.43,617,快充0.62小时 慢充16小时,0.62,16,80,160,,14.6,4876,1848,1680,2965,1587,1563,5,7,2280,150,204,310,三元锂电池,0,1,0,83.4
399,ID.6 X 2022款 劲能四驱版,33.59,540,快充0.62小时 慢充16小时,0.62,16,80,160,,16.7,4876,1848,1680,2965,1587,1563,5,6,2395,230,313,472,三元锂电池,0,1,0,83.4
400,奔驰EQS 2022款 改款 EQS 450+ 先锋版,74.36,849,快充0.62小时 慢充16小时,0.62,16,80,200,6.4,14.2,5227,1926,1513,3210,1667,1682,5,5,2490,245,333,568,三元锂电池,0,1,0,111.8
401,奔驰EQS 2022款 改款 EQS 450+ 豪华版,85.76,813,快充0.58小时 慢充4.3小时,0.58,4.3,80,200,6.4,14.7,5224,1926,1512,3210,1667,1682,5,5,2530,245,333,568,三元锂电池,0,1,0,111.8
402,奔驰EQS 2022款 改款 EQS 450+ 先型特别版,98.16,813,快充0.58小时 慢充4.3小时,0.58,4.3,80,200,6.4,14.7,5224,1926,1512,3210,1667,1682,5,5,2530,245,333,568,三元锂电池,0,1,0,111.8
403,奔驰EQS 2022款 改款 EQS 580 4MATIC ,118.26,720,快充0.58小时 慢充4.3小时,0.58,4.3,80,200,4.4,16.7,5224,1926,1517,3210,1667,1682,5,5,2690,380,517,855,三元锂电池,0,1,0,111.8
404,小鹏G3 2022款 G3i 460G,16.89,460,快充0.58小时 慢充5.5小时,0.58,5.5,80,170,8.6,13.8,4495,1820,1610,2625,1546,1551,5,5,1680,145,197,300,磷酸铁锂电池,1,0,0,55
405,小鹏G3 2022款 G3i 460G+,16.89,460,快充0.58小时 慢充5.5小时,0.58,5.5,80,170,8.6,13.8,4495,1820,1610,2625,1546,1551,5,5,1680,145,197,300,磷酸铁锂电池,1,0,0,55
406,小鹏G3 2022款 G3i 460N,18.89,460,快充0.58小时 慢充5.5小时,0.58,5.5,80,170,8.6,13.8,4495,1820,1610,2625,1546,1551,5,5,1630,145,197,300,三元锂电池,0,1,0,57
407,小鹏G3 2022款 G3i 520G,18.19,520,快充0.58小时 慢充5.5小时,0.58,5.5,80,170,8.6,14.2,4495,1820,1610,2625,1546,1551,5,5,1655,145,197,300,三元锂电池,0,1,0,66
408,小鹏G3 2022款 G3i 520G+,18.19,520,快充0.5小时 慢充4.9小时,0.5,4.9,80,170,8.6,14.2,4495,1820,1610,2625,1546,1551,5,5,1665,145,197,300,三元锂电池,0,1,0,66
409,小鹏G3 2022款 G3i 520N,20.19,520,快充0.83小时 慢充7小时,0.83,7,80,170,8.6,14.2,4495,1820,1610,2625,1546,1551,5,5,1655,145,197,300,三元锂电池,0,1,0,66
410,小鹏G3 2022款 G3i 520N+,20.19,520,快充0.83小时 慢充7小时,0.83,7,80,170,8.6,14.2,4495,1820,1610,2625,1546,1551,5,5,1665,145,197,300,三元锂电池,0,1,0,66
411,广汽丰田bZ4X 2022款 Elite,19.97,400,快充0.83小时 慢充7小时,0.83,7,80,160,,12.3,4690,1860,1650,2850,1600,1610,5,5,1865,150,204,266,三元锂电池,0,1,0,50.3
412,广汽丰田bZ4X 2022款 长续航Elite,22.97,615,快充0.83小时 慢充7小时,0.83,7,80,160,,11.6,4690,1860,1650,2850,1600,1610,5,5,1865,150,204,266,三元锂电池,0,1,0,66.7
413,广汽丰田bZ4X 2022款 长续航Pro,24.97,615,快充0.6小时 慢充11.5小时,0.6,11.5,80,160,,11.6,4690,1860,1650,2850,1600,1610,5,5,1905,150,204,266,三元锂电池,0,1,0,66.7
414,广汽丰田bZ4X 2022款 X-Mode 四驱Pro,26.87,560,快充0.6小时 慢充11.5小时,0.6,11.5,80,160,,13.1,4690,1860,1650,2850,1600,1610,5,5,2000,160,218,337,三元锂电池,0,1,0,66.7
415,广汽丰田bZ4X 2022款 X-Mode 四驱Ultra,28.77,500,快充0.8小时 慢充14小时,0.8,14,80,160,,14.7,4690,1860,1650,2850,1600,1610,5,5,2035,160,218,337,三元锂电池,0,1,0,66.7
416,蔚来ES8 2022款 450KM 七座版,48.47,450,快充0.8小时 慢充14小时,0.8,14,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,7,2425,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
417,蔚来ES8 2022款 450KM 六座版,49.07,450,快充0.6小时 慢充11.5小时,0.6,11.5,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,6,2425,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
418,蔚来ES8 2022款 580KM 七座版,54.14,580,快充0.6小时 慢充11.5小时,0.6,11.5,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,7,2445,400,544,725,三元锂电池,0,1,0,100
419,蔚来ES8 2022款 580KM 六座版,54.74,580,快充0.6小时 慢充11.5小时,0.6,11.5,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,6,2425,400,544,725,三元锂电池,0,1,0,100
420,蔚来ES8 2022款 450KM 签名版 七座,57.47,450,快充0.8小时 慢充14小时,0.8,14,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,7,2425,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
421,蔚来ES8 2022款 450KM 签名版 六座,58.07,450,快充0.8小时 慢充14小时,0.8,14,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,6,2425,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
422,蔚来ES8 2022款 450KM 领航版,58.67,450,快充0.8小时 慢充14小时,0.8,14,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,6,2425,400,544,725,磷酸铁锂电池+三元锂电池,0,0,0,75
423,蔚来ES8 2022款 580KM 签名版 七座,63.14,580,快充0.5小时 慢充19.64小时,0.5,19.64,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,7,2425,400,544,725,三元锂电池,0,1,0,100
424,蔚来ES8 2022款 580KM 签名版 六座,63.74,580,快充0.75小时 慢充10.25小时,0.75,10.25,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,6,2425,400,544,725,三元锂电池,0,1,0,100
425,蔚来ES8 2022款 580KM 领航版,64.34,580,快充0.75小时 慢充10.25小时,0.75,10.25,80,200,4.9,17.7,5022,1962,1756,3010,1668,1672,5,6,2425,400,544,725,三元锂电池,0,1,0,100
426,比亚迪e9 2021款 商务版,23.58,506,快充0.67小时 慢充14小时,0.67,14,80,185,7.9,13.9,4980,1940,1495,2920,1640,1640,4,5,1940,163,222,330,磷酸铁锂电池,1,0,0,64.8
427,奔驰EQA 2022款 EQA 260 ,21.68,619,快充0.67小时 慢充14小时,0.67,14,80,160,8.6,12.7,4463,1834,1619,2729,1587,1590,5,5,2011,140,190,385,三元锂电池,0,1,0,73.5
428,奔驰EQA 2022款 EQA 300 4MATIC 首发特别版,26.08,537,快充0.67小时 慢充14小时,0.67,14,80,160,7.7,14.7,4463,1834,1624,2729,1587,1590,5,5,2078,168,229,390,三元锂电池,0,1,0,73.5
429,ARIYA 艾睿雅 2022款 两驱长续航版,25.28,623,快充0.67小时 慢充14小时,0.67,14,80,160,,16,4603,1900,1658,2775,1636,1639,5,5,2106,178,242,300,三元锂电池,0,1,0,90
430,ARIYA 艾睿雅 2022款 两驱长续航顶配版,25.28,623,快充0.5小时 慢充11.5小时,0.5,11.5,80,160,,16,4603,1900,1658,2775,1636,1639,5,5,2116,178,242,300,三元锂电池,0,1,0,90
431,ARIYA 艾睿雅 2022款 高性能四驱版,29.78,559,快充0.5小时 慢充11.5小时,0.5,11.5,80,200,,17.8,4603,1900,1654,2775,1636,1639,5,5,2245,320,435,600,三元锂电池,0,1,0,90
432,ARIYA 艾睿雅 2022款 高性能四驱顶配版,29.78,533,快充0.43小时 慢充11.5小时,0.43,11.5,80,200,,18.7,4603,1900,1654,2775,1626,1629,5,5,2269,320,435,600,三元锂电池,0,1,0,90
433,极狐 阿尔法T 2022款 480S 160kw,21.87,480,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.8,16,4788,1940,1683,2915,1660,1640,5,5,2030,160,218,360,三元锂电池,0,1,0,67.3
434,极狐 阿尔法T 2022款 480S 175kW,21.87,480,快充0.5小时 慢充11.5小时,0.5,11.5,80,180,7.8,15.5,4788,1940,1683,2915,1660,1640,5,5,1935,175,238,360,三元锂电池,0,1,0,65.6
435,极狐 阿尔法T 2022款 480S+ 175KW,24.87,480,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,7.8,15.5,4788,1940,1683,2915,1660,1640,5,5,1935,175,238,360,三元锂电池,0,1,0,65.6
436,极狐 阿尔法T 2021款 480S 160kw,24.19,480,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,7.8,16,4788,1940,1683,2915,1660,1640,5,5,2030,160,218,360,三元锂电池,0,1,0,67.3
437,极狐 阿尔法T 2021款 480S 175kW,24.22,480,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,7.8,15.5,4788,1940,1683,2915,1660,1640,5,5,1935,175,238,360,三元锂电池,0,1,0,65.6
438,极狐 阿尔法T 2021款 653S 160kw,26.19,653,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,8.4,16.3,4788,1940,1683,2915,1660,1640,5,5,2125,160,218,360,三元锂电池,0,1,0,93.6
439,极狐 阿尔法T 2021款 653S 175kW,26.19,653,快充0.6小时 慢充15.5小时,0.6,15.5,80,180,8.4,16.3,4788,1940,1683,2915,1660,1640,5,5,2070,175,238,360,三元锂电池,0,1,0,94.5
440,极狐 阿尔法T 2021款 653S+ 160kw,28.22,653,快充0.75小时 慢充10.25小时,0.75,10.25,80,180,8.4,16.3,4788,1940,1683,2915,1660,1640,5,5,2125,160,218,360,三元锂电池,0,1,0,93.6
441,极狐 阿尔法T 2021款 653S+ 175kW,28.22,653,快充0.75小时 慢充10.25小时,0.75,10.25,80,180,8.4,16.3,4788,1940,1683,2915,1660,1640,5,5,2070,175,238,360,三元锂电池,0,1,0,94.5
442,极狐 阿尔法T 2021款 600H,32.52,600,快充0.75小时 慢充10.25小时,0.75,10.25,80,180,4.6,17.3,4788,1940,1683,2915,1660,1640,5,5,2270,320,435,720,三元锂电池,0,1,0,93.6
443,奔驰EQB 2022款 EQB 260,22.53,600,快充0.5小时 慢充9.5小时,0.5,9.5,80,160,8.8,13.4,4684,1834,1693,2829,1584,1580,5,5,2072,140,190,385,三元锂电池,0,1,0,73.5
444,奔驰EQB 2022款 EQB 350 4MATIC ,29.72,512,快充0.5小时 慢充9.5小时,0.5,9.5,80,160,6.3,15.5,4684,1834,1706,2829,1584,1580,5,7,2207,215,292,520,三元锂电池,0,1,0,73.5
445,奔驰EQB 2022款 EQB 350 4MATIC 首发特别版,31.13,512,快充0.5小时 慢充9.5小时,0.5,9.5,80,160,6.3,15.5,4684,1834,1706,2829,1587,1585,5,7,2207,215,292,520,三元锂电池,0,1,0,73.5
446,雪佛兰畅巡 2022款 星河版,14.49,518,快充0.5小时 慢充9.5小时,0.5,9.5,80,170,,12.6,4665,1813,1513,2660,1545,1556,5,5,1620,130,177,265,三元锂电池,0,1,0,61.1
447,雪佛兰畅巡 2022款 星享版,15.51,518,快充0.5小时 慢充9.5小时,0.5,9.5,80,170,,12.6,4665,1813,1513,2660,1545,1556,5,5,1620,130,177,265,三元锂电池,0,1,0,61.1
448,雪佛兰畅巡 2022款 星享版 Plus,15.71,518,快充0.5小时 慢充9.5小时,0.5,9.5,80,170,,12.6,4665,1813,1513,2660,1545,1556,5,5,1620,130,177,265,三元锂电池,0,1,0,61.1
449,雪佛兰畅巡 2022款 星云版,15.49,518,快充0.67小时 慢充8小时,0.67,8,80,170,,12.6,4665,1813,1538,2660,1545,1556,5,5,1660,130,177,265,三元锂电池,0,1,0,61.1
450,雪佛兰畅巡 2022款 星宇版,15.99,518,快充0.67小时 慢充8小时,0.67,8,80,170,,12.6,4665,1813,1538,2660,1545,1556,5,5,1660,130,177,265,三元锂电池,0,1,0,61.1
451,雪佛兰畅巡 2022款 米奇功夫版,15.99,518,快充0.67小时 慢充8小时,0.67,8,80,170,,12.6,4665,1813,1538,2660,1545,1556,5,5,1660,130,177,265,三元锂电池,0,1,0,61.1
452,雪佛兰畅巡 2021款 米奇太空星享版,13.45,410,快充0.67小时 慢充8小时,0.67,8,80,150,,13.1,4665,1813,1513,2660,1545,1556,5,5,1660,110,150,350,三元锂电池,0,1,0,52.5
453,雪佛兰畅巡 2021款 米奇太空星河版,14.49,410,快充0.67小时 慢充8小时,0.67,8,80,150,,13.1,4665,1813,1513,2660,1545,1556,5,5,1660,110,150,350,三元锂电池,0,1,0,52.5
454,雪佛兰畅巡 2021款 米奇太空星云版,15.49,410,快充0.67小时 慢充8小时,0.67,8,80,150,,13.1,4665,1813,1538,2660,1545,1556,5,5,1660,110,150,350,三元锂电池,0,1,0,52.5
455,雪佛兰畅巡 2021款 米奇太空星宇版,15.99,410,快充0.67小时 慢充8小时,0.67,8,80,150,,13.1,4665,1813,1538,2660,1545,1556,5,5,1660,110,150,350,三元锂电池,0,1,0,52.5
456,雪佛兰畅巡 2021款 米奇魔法星享版,13.45,410,快充0.67小时 慢充8小时,0.67,8,80,150,,13.1,4665,1813,1513,2660,1545,1556,5,5,1660,110,150,350,三元锂电池,0,1,0,52.5
